optimizer,score,lr,C,p,val_acc,sparsity,train_steps
ADMM_neuron,first order + second order,0.0005,0.05,,0.112,0.00554336500077896,16
ADMM_neuron,first order + second order,0.0005,0.1,,0.148,0.010908352873899815,16
ADMM_neuron,first order + second order,0.0005,0.2,,0.108,0.02210770168215316,16
ADMM_neuron,first order + second order,0.0005,0.5,,0.086,0.05677170892663062,16
ADMM_neuron,first order + second order,0.0005,1.0,,0.094,0.11874308807835442,16
ADMM_neuron,first order + second order,0.0005,2.0,,0.124,0.26622932261861926,16
ADMM_neuron,first order + second order,0.0005,5.0,,0.085,0.9895791498186576,16
Ppercent_global,first order,0.001,,10,0.197,0.09999996927181264,16
Ppercent_global,first order,0.001,,20,0.149,0.19999993854362527,16
Ppercent_global,first order,0.001,,40,0.184,0.39999987708725054,16
Ppercent_global,first order,0.001,,50,0.228,0.5,16
Ppercent_global,first order,0.0005,,10,0.15,0.09999996927181264,16
Ppercent_global,first order,0.0005,,20,0.085,0.19999993854362527,16
Ppercent_global,first order,0.0005,,40,0.1,0.39999987708725054,16
Ppercent_global,first order,0.0005,,50,0.123,0.5,16
Ppercent_global,second order,0.001,,10,0.327,0.09999996927181264,16
Ppercent_global,second order,0.001,,20,0.22,0.19999993854362527,16
Ppercent_global,second order,0.001,,40,0.166,0.39999987708725054,16
Ppercent_global,second order,0.001,,50,0.099,0.5,16
Ppercent_global,second order,0.0005,,10,0.167,0.09999996927181264,16
Ppercent_global,second order,0.0005,,20,0.151,0.19999993854362527,16
Ppercent_global,second order,0.0005,,40,0.204,0.39999987708725054,16
Ppercent_global,second order,0.0005,,50,0.099,0.5,16
Ppercent_global,first order + second order,0.001,,10,0.203,0.09999996927181264,16
Ppercent_global,first order + second order,0.001,,20,0.197,0.19999993854362527,16
Ppercent_global,first order + second order,0.001,,40,0.213,0.39999987708725054,16
Ppercent_global,first order + second order,0.001,,50,0.211,0.5,16
Ppercent_global,first order + second order,0.0005,,10,0.133,0.09999996927181264,16
Ppercent_global,first order + second order,0.0005,,20,0.224,0.19999993854362527,16
Ppercent_global,first order + second order,0.0005,,40,0.308,0.39999987708725054,16
Ppercent_global,first order + second order,0.0005,,50,0.182,0.5,16
Ppercent_layer,first order,0.001,,10,0.231,0.09999474547996046,16
Ppercent_layer,first order,0.001,,20,0.234,0.19999179557397334,16
Ppercent_layer,first order,0.001,,40,0.214,0.3999862030438728,16
Ppercent_layer,first order,0.001,,50,0.103,0.49998371406069614,16
Ppercent_layer,first order,0.0005,,10,0.094,0.09999474547996046,16
Ppercent_layer,first order,0.0005,,20,0.152,0.19999179557397334,16
Ppercent_layer,first order,0.0005,,40,0.085,0.3999862030438728,16
Ppercent_layer,first order,0.0005,,50,0.147,0.49998371406069614,16
Ppercent_layer,second order,0.001,,10,0.142,0.10257145763151433,16
Ppercent_layer,second order,0.001,,20,0.256,0.06557579552972476,16
Ppercent_layer,second order,0.001,,40,0.176,0.21734338841565773,16
Ppercent_layer,second order,0.001,,50,0.092,0.33757648629937675,16
Ppercent_layer,second order,0.0005,,10,0.262,0.023114357100254706,16
Ppercent_layer,second order,0.0005,,20,0.14,0.07095922031526505,16
Ppercent_layer,second order,0.0005,,40,0.125,0.21650665987368872,16
Ppercent_layer,second order,0.0005,,50,0.102,0.3367064176741159,16
Ppercent_layer,first order + second order,0.001,,10,0.208,0.11120684648597058,16
Ppercent_layer,first order + second order,0.001,,20,0.304,0.21531532804951908,16
Ppercent_layer,first order + second order,0.001,,40,0.247,0.45266568561807136,16
Ppercent_layer,first order + second order,0.001,,50,0.178,0.5803612774444964,16
Ppercent_layer,first order + second order,0.0005,,10,0.151,0.10995436556894314,16
Ppercent_layer,first order + second order,0.0005,,20,0.146,0.21725120385356053,16
Ppercent_layer,first order + second order,0.0005,,40,0.129,0.4568725281093776,16
Ppercent_layer,first order + second order,0.0005,,50,0.133,0.5808810447337879,16
Ppercent_neuron,first order,0.001,,10,0.222,0.09994665586673308,16
Ppercent_neuron,first order,0.001,,20,0.159,0.19992327171614777,16
Ppercent_neuron,first order,0.001,,40,0.11,0.3998589883481786,16
Ppercent_neuron,first order,0.001,,50,0.07,0.4999950834900215,16
Ppercent_neuron,first order,0.0005,,10,0.109,0.09994665586673308,16
Ppercent_neuron,first order,0.0005,,20,0.115,0.19992327171614777,16
Ppercent_neuron,first order,0.0005,,40,0.097,0.3998589883481786,16
Ppercent_neuron,first order,0.0005,,50,0.096,0.4999950834900215,16
Ppercent_neuron,second order,0.001,,10,0.247,0.16457448681622486,16
Ppercent_neuron,second order,0.001,,20,0.091,0.3505718976591574,16
Ppercent_neuron,second order,0.001,,40,0.036,0.6550209397232803,16
Ppercent_neuron,second order,0.001,,50,0.107,0.8032676969008472,16
Ppercent_neuron,second order,0.0005,,10,0.141,0.1485042593876917,16
Ppercent_neuron,second order,0.0005,,20,0.089,0.4060113860225465,16
Ppercent_neuron,second order,0.0005,,40,0.11,0.6279604688015177,16
Ppercent_neuron,second order,0.0005,,50,0.126,0.8752873469621039,16
Ppercent_neuron,first order + second order,0.001,,10,0.223,0.11178837743186716,16
Ppercent_neuron,first order + second order,0.001,,20,0.336,0.21238431989763826,16
Ppercent_neuron,first order + second order,0.001,,40,0.202,0.4520277684483587,16
Ppercent_neuron,first order + second order,0.001,,50,0.225,0.5763126851181237,16
Ppercent_neuron,first order + second order,0.0005,,10,0.108,0.11237359576024762,16
Ppercent_neuron,first order + second order,0.0005,,20,0.155,0.21394147079239698,16
Ppercent_neuron,first order + second order,0.0005,,40,0.177,0.45376037729297575,16
Ppercent_neuron,first order + second order,0.0005,,50,0.11,0.5762950164103885,16
Lasso_global,first order,0.001,0.01,,0.3,0.11536052921313408,16
Lasso_global,first order,0.001,0.05,,0.206,0.2970529210061269,16
Lasso_global,first order,0.001,0.1,,0.156,0.4265929722791803,16
Lasso_global,first order,0.001,0.2,,0.136,0.6027298614373847,16
Lasso_global,first order,0.001,0.5,,0.173,0.9529423929452998,16
Lasso_global,first order,0.001,1.0,,0.085,0.9925398106713463,16
Lasso_global,first order,0.001,2.0,,0.085,0.9947731353290882,16
